model_id,size,name,category_id,apple_model,identifier,colors,storage_options,memory_options,chip_options,years,specs
macbook-neo,"13""",MacBook Neo,mac,,,"silber, zitrus, indigo, rosa","256 GB, 512 GB, 1 TB, 2 TB","16 GB, 24 GB, 32 GB","A18 Pro, A18 Pro mit Touch ID","2025, 2026","Größe und Gewicht: 304,1 × 212,4 × 15,6 mm / 1.400 g
Display: 13,6‑Zoll‑Liquid‑Retina mit True Tone
Auflösung: 2560 × 1664, 224 Pixel pro Zoll
Helligkeit: 500 Nits
Farbraum: P3 Wide Color
Kamera: 1080p FaceTime‑HD‑Kamera
Audio: Vier Lautsprecher, drei Mikrofone
Authentifizierung: Touch ID
Anschlüsse: MagSafe, zwei Thunderbolt / USB 4, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Batterie: Bis zu 18 Stunden Videowiedergabe
Betriebssystem: macOS"
macbook-neo,"15""",MacBook Neo,mac,,,"silber, zitrus, indigo, rosa","256 GB, 512 GB, 1 TB, 2 TB","16 GB, 24 GB, 32 GB","A18 Pro, A18 Pro mit Touch ID","2025, 2026","Größe und Gewicht: 340,4 × 237,6 × 15,6 mm / 1.600 g
Display: 15,3‑Zoll‑Liquid‑Retina mit True Tone
Auflösung: 2880 × 1864, 224 Pixel pro Zoll
Helligkeit: 500 Nits
Farbraum: P3 Wide Color
Kamera: 1080p FaceTime‑HD‑Kamera
Audio: Vier Lautsprecher, drei Mikrofone
Authentifizierung: Touch ID
Anschlüsse: MagSafe, zwei Thunderbolt / USB 4, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Batterie: Bis zu 18 Stunden Videowiedergabe
Betriebssystem: macOS"
macbook-air,"13""",MacBook Air,mac,"A3240 (M4, 2025) und Vorgänger je Baujahr","Mac16,12 (M4, 13"")","mitternacht, polarstern, himmelblau, silber","256 GB, 512 GB, 1 TB, 2 TB","8 GB, 16 GB, 24 GB","M2, M3, M4","2022, 2023, 2024, 2025","Größe und Gewicht: 304,1 × 215,0 × 11,3 mm / 1.240 g
Display: 13,6‑Zoll‑Liquid‑Retina mit True Tone
Auflösung: 2560 × 1664, 224 Pixel pro Zoll
Helligkeit: 500 Nits
Farbraum: P3 Wide Color
Kamera: 1080p FaceTime‑HD‑Kamera
Audio: Vier Lautsprecher, drei Mikrofone
Authentifizierung: Touch ID
Anschlüsse: MagSafe, zwei Thunderbolt / USB 4, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Batterie: Bis zu 18 Stunden Videowiedergabe
Betriebssystem: macOS"
macbook-air,"15""",MacBook Air,mac,"je Baujahr, siehe Gehäuseunterseite","Mac16,13 (M4, 15"")","mitternacht, polarstern, himmelblau, silber","256 GB, 512 GB, 1 TB, 2 TB","8 GB, 16 GB, 24 GB","M2, M3, M4","2022, 2023, 2024, 2025","Größe und Gewicht: 340,4 × 237,6 × 11,5 mm / 1.510 g
Display: 15,3‑Zoll‑Liquid‑Retina mit True Tone
Auflösung: 2880 × 1864, 224 Pixel pro Zoll
Helligkeit: 500 Nits
Farbraum: P3 Wide Color
Kamera: 1080p FaceTime‑HD‑Kamera
Audio: Vier Lautsprecher, drei Mikrofone
Authentifizierung: Touch ID
Anschlüsse: MagSafe, zwei Thunderbolt / USB 4, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Batterie: Bis zu 18 Stunden Videowiedergabe
Betriebssystem: macOS"
macbook-pro,"14""",MacBook Pro,mac,"je Chip und Baujahr, siehe Gehäuseunterseite","Mac16,1 / Mac16,5 (M4 / M4 Pro, 14"")","space-schwarz, silber","512 GB, 1 TB, 2 TB, 4 TB","16 GB, 24 GB, 32 GB, 48 GB, 64 GB","M1 Pro, M1 Max, M2 Pro, M2 Max, M3 Pro, M3 Max, M4 Pro, M4 Max","2021, 2022, 2023, 2024, 2025","Größe und Gewicht: 312,6 × 221,2 × 15,5 mm / 1.550 g
Display: 14,2‑Zoll‑Liquid‑Retina‑XDR mit ProMotion
Auflösung: 3024 × 1964, 254 Pixel pro Zoll
Helligkeit: 1000 Nits SDR, 1600 Nits HDR
Kontrast: 1.000.000:1, True Tone
Farbraum: P3 Wide Color
Kamera: 1080p FaceTime‑HD‑Kamera
Audio: Sechs Lautsprecher mit Force‑cancelling
Authentifizierung: Touch ID
Anschlüsse: MagSafe, HDMI, SDXC, drei Thunderbolt 4, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Batterie: Bis zu 22 Stunden Videowiedergabe
Betriebssystem: macOS"
macbook-pro,"16""",MacBook Pro,mac,"je Chip und Baujahr, siehe Gehäuseunterseite","Mac16,6 / Mac16,8 (M4 Pro / M4 Max, 16"")","space-schwarz, silber","512 GB, 1 TB, 2 TB, 4 TB","16 GB, 24 GB, 32 GB, 48 GB, 64 GB","M1 Pro, M1 Max, M2 Pro, M2 Max, M3 Pro, M3 Max, M4 Pro, M4 Max","2021, 2022, 2023, 2024, 2025","Größe und Gewicht: 355,7 × 248,1 × 16,8 mm / 2.140 g
Display: 16,2‑Zoll‑Liquid‑Retina‑XDR mit ProMotion
Auflösung: 3456 × 2234, 254 Pixel pro Zoll
Helligkeit: 1000 Nits SDR, 1600 Nits HDR
Kontrast: 1.000.000:1, True Tone
Farbraum: P3 Wide Color
Kamera: 1080p FaceTime‑HD‑Kamera
Audio: Sechs Lautsprecher mit Force‑cancelling
Authentifizierung: Touch ID
Anschlüsse: MagSafe, HDMI, SDXC, drei Thunderbolt 4, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Batterie: Bis zu 22 Stunden Videowiedergabe
Betriebssystem: macOS"
imac,"24""",iMac,mac,"je Chip und Baujahr, siehe Standfuß","Mac16,2 / Mac16,3 (M4, 24"")","blau, gruen, rosa, silber, gelb, violett, orange","256 GB, 512 GB, 1 TB, 2 TB","8 GB, 16 GB, 24 GB, 32 GB","M1, M3, M4","2021, 2023, 2024","Größe und Gewicht: 547 × 461 × 147 mm / 4.430 g
Display: 24‑Zoll‑4,5K‑Retina mit True Tone
Auflösung: 4480 × 2520, 218 Pixel pro Zoll
Helligkeit: 500 Nits
Farbraum: P3 Wide Color
Kamera: 1080p FaceTime‑HD‑Kamera
Audio: Sechs Lautsprecher, Studioqualität‑Mikrofon
Authentifizierung: Touch ID in der Magic Keyboard
Anschlüsse: Zwei Thunderbolt / USB 4, Gigabit Ethernet, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Betriebssystem: macOS"
mac-mini,,Mac mini,mac,"je Chip und Baujahr, siehe Unterseite","Mac16,10 / Mac16,11 (M4 / M4 Pro)",silber,"256 GB, 512 GB, 1 TB, 2 TB","8 GB, 16 GB, 24 GB, 32 GB","M1, M2, M2 Pro, M4, M4 Pro","2020, 2023, 2024","Größe und Gewicht: 127 × 127 × 50 mm / 670 g
Anschlüsse vorne: Zwei USB‑C, 3,5‑mm‑Kopfhörer
Anschlüsse hinten: Drei Thunderbolt, HDMI, zwei USB‑A, Gigabit Ethernet
Netzwerk: WLAN 6E, Bluetooth 5.3
Video: Bis zu drei Displays
Betriebssystem: macOS"
mac-studio,,Mac Studio,mac,"je Chip und Baujahr, siehe Unterseite","Mac16,9 (M4 Max / M3 Ultra, aktuell)",silber,"512 GB, 1 TB, 2 TB, 4 TB, 8 TB","32 GB, 64 GB, 128 GB","M1 Max, M1 Ultra, M2 Max, M2 Ultra, M4 Max","2022, 2023, 2025","Größe und Gewicht: 197 × 197 × 95 mm / 2.740 g
Anschlüsse vorne: Zwei USB‑C, SDXC
Anschlüsse hinten: Vier Thunderbolt, HDMI, 10‑Gb‑Ethernet, zwei USB‑A, 3,5‑mm‑Kopfhörer
Netzwerk: WLAN 6E, Bluetooth 5.3
Video: Bis zu fünf Displays
Betriebssystem: macOS"
ipad-pro,"11""",iPad Pro,ipad,"A2836 (Wi‑Fi), A2837 (Cellular), A3006 (China)","iPad16,3 / iPad16,4 (M4, 11"")","space-schwarz, silber","256 GB, 512 GB, 1 TB, 2 TB",,"M2, M4","2022, 2024","Größe und Gewicht: 249,7 × 177,5 × 5,3 mm / 444 g
Display: 11‑Zoll‑Ultra‑Retina‑XDR mit ProMotion
Auflösung: 2420 × 1668, 264 Pixel pro Zoll
Helligkeit: 1000 Nits SDR, 1600 Nits HDR
Bildwiederholung: 10–120 Hz ProMotion, True Tone
Kameras: 12‑MP‑Weitwinkel, 10‑MP‑Ultraweitwinkel, LiDAR
Frontkamera: 12‑MP‑TrueDepth mit Center Stage
Authentifizierung: Face ID
Anschlüsse: USB‑C mit Thunderbolt / USB 4
Netzwerk: WLAN 6E, Bluetooth 5.3, optional 5G
Apple Pencil: Apple Pencil Pro
Betriebssystem: iPadOS"
